"Air Quality Statistics by County, 2010",,,,,,,,,,,,,
State/County ,,2010 Population,CO          8-hr   (ppm),Pb      RQmax (µg/m3),NO2          AM   (ppb),NO2  1-hr (ppb),O3           8-hr   (ppb),PM10           24-hr (µg/m3),PM2.5     Wtd AM  (µg/m3),PM2.5        24-hr  (µg/m3),SO2       AM   (ppb),SO2             24-hr  (ppb),SO2     1-hr (ppb)
Illinois,Rock Island County,147546,ND,ND,ND,ND,0.057,ND,IN,IN,ND,ND,ND
Illinois,St. Clair County,270056,2,0.03,11.547,43,0.072,62,13,24,1.594,5.9,31
Illinois,Sangamon County,197465,1,ND,ND,ND,0.069,ND,11.5,24,1,7,24
Illinois,Tazewell County,135394,ND,ND,ND,ND,ND,ND,ND,ND,3.894,61.3,228
Illinois,Wabash County,11947,ND,ND,ND,ND,ND,ND,ND,ND,3.043,16,66
Illinois,Whiteside County,58498,ND,0.02,ND,ND,ND,ND,ND,ND,ND,ND,ND
Illinois,Will County,677560,ND,ND,ND,ND,0.065,43,11.8,28,1.317,5.8,24
Illinois,Winnebago County,295266,1,0.06,ND,ND,0.063,ND,IN,IN,ND,ND,ND
Indiana,Allen County,355329,2,ND,ND,ND,0.068,ND,11.8,31,ND,ND,ND
Indiana,Boone County,56640,ND,ND,ND,ND,0.072,ND,ND,ND,ND,ND,ND
